### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [117/302] region_x=17/region_y=113 rows=20  sources=1
  L2 [118/302] region_x=17/region_y=118 rows=280  sources=7
  L2 [119/302] region_x=17/region_y=119 rows=1303  sources=13
  L2 [120/302] region_x=17/region_y=120 rows=3382  sources=29
  L2 [121/302] region_x=17/region_y=121 rows=38805  sources=31
  L2 [122/302] region_x=17/region_y=122 rows=51105  sources=31
  L2 [123/302] region_x=17/region_y=123 rows=232979  sources=31
  L2 [124/302] region_x=17/region_y=124 rows=12867  sources=31
  L2 [125/302] region_x=18/region_y=120 rows=1353  sources=26
  L2 [126/302] region_x=18/region_y=121 rows=39983  sources=31
  L2 [127/302] region_x=18/region_y=122 rows=19312  sources=31
  L2 [128/302] region_x=18/region_y=123 rows=109581  sources=31
  L2 [129/302] region_x=18/region_y=124 rows=27591  sources=31
  L2 [130/302] region_x=18/region_y=125 rows=110  sources=3
  L2 [131/302] region_x=18/region_y=127 rows=1  sources=1
  L2 [132/302] region_x=18/region_y=130 rows=54  sources=1
  L2 [133/302] region_x=19/region_y=120 rows=32  sources=5
  L2 [134/302] region_x=19/region_y=121 rows=10543  sources=31
  L2 [135/302] region_x=19/region_y=122 rows=5863  sources=31
  L2 [136/302] region_x=19/region_y=123 rows=1753  sources=29
  L2 [137/302] region_x=19/region_y=124 rows=6422  sources=12
  L2 [138/302] region_x=19/region_y=125 rows=2011  sources=3
  L2 [139/302] region_x=19/region_y=126 rows=346  sources=3
  L2 [140/302] region_x=19/region_y=127 rows=274  sources=3
  L2 [141/302] region_x=19/region_y=128 rows=36  sources=1
  L2 [142/302] region_x=19/region_y=129 rows=84  sources=2
  L2 [143/302] region_x=19/region_y=130 rows=237  sources=1
  L2 [144/302] region_x=19/region_y=131 rows=3  sources=1
  L2 [145/302] region_x=2/region_y=114 rows=1  sources=1
  L2 [146/302] region_x=2/region_y=115 rows=1  sources=1
  L2 [147/302] region_x=2/region_y=116 rows=1  sources=1
  L2 [148/302] region_x=2/region_y=121 rows=2  sources=1
  L2 [149/302] region_x=2/region_y=122 rows=20  sources=2
  L2 [150/302] region_x=2/region_y=123 rows=147  sources=8
  L2 [151/302] region_x=2/region_y=124 rows=287  sources=19
  L2 [152/302] region_x=2/region_y=125 rows=23  sources=8
  L2 [153/302] region_x=20/region_y=121 rows=336  sources=7
  L2 [154/302] region_x=20/region_y=122 rows=2747  sources=12
  L2 [155/302] region_x=20/region_y=123 rows=1008  sources=4
  L2 [156/302] region_x=20/region_y=124 rows=2017  sources=4
  L2 [157/302] region_x=20/region_y=125 rows=1704  sources=2
  L2 [158/302] region_x=20/region_y=126 rows=1088  sources=4
  L2 [159/302] region_x=20/region_y=127 rows=586  sources=3
  L2 [160/302] region_x=20/region_y=128 rows=635  sources=3
  L2 [161/302] region_x=20/region_y=129 rows=516  sources=2
  L2 [162/302] region_x=20/region_y=130 rows=337  sources=1
  L2 [163/302] region_x=20/region_y=131 rows=65  sources=1
  L2 [164/302] region_x=20/region_y=132 rows=35  sources=1
